login,avatar_url,contributions,events_url,followers_url,following_url,gists_url,gravatar_id,html_url,id,node_id,organizations_url,received_events_url,repos_url,site_admin,starred_url,subscriptions_url,type,url,user_view_type
ErikBjare,https://avatars.githubusercontent.com/u/1405370?v=4,919,https://api.github.com/users/ErikBjare/events{/privacy},https://api.github.com/users/ErikBjare/followers,https://api.github.com/users/ErikBjare/following{/other_user},https://api.github.com/users/ErikBjare/gists{/gist_id},,https://github.com/ErikBjare,1405370,MDQ6VXNlcjE0MDUzNzA=,https://api.github.com/users/ErikBjare/orgs,https://api.github.com/users/ErikBjare/received_events,https://api.github.com/users/ErikBjare/repos,false,https://api.github.com/users/ErikBjare/starred{/owner}{/repo},https://api.github.com/users/ErikBjare/subscriptions,User,https://api.github.com/users/ErikBjare,public
johan-bjareholt,https://avatars.githubusercontent.com/u/1398500?v=4,27,https://api.github.com/users/johan-bjareholt/events{/privacy},https://api.github.com/users/johan-bjareholt/followers,https://api.github.com/users/johan-bjareholt/following{/other_user},https://api.github.com/users/johan-bjareholt/gists{/gist_id},,https://github.com/johan-bjareholt,1398500,MDQ6VXNlcjEzOTg1MDA=,https://api.github.com/users/johan-bjareholt/orgs,https://api.github.com/users/johan-bjareholt/received_events,https://api.github.com/users/johan-bjareholt/repos,false,https://api.github.com/users/johan-bjareholt/starred{/owner}{/repo},https://api.github.com/users/johan-bjareholt/subscriptions,User,https://api.github.com/users/johan-bjareholt,public
xylix,https://avatars.githubusercontent.com/u/13387304?v=4,20,https://api.github.com/users/xylix/events{/privacy},https://api.github.com/users/xylix/followers,https://api.github.com/users/xylix/following{/other_user},https://api.github.com/users/xylix/gists{/gist_id},,https://github.com/xylix,13387304,MDQ6VXNlcjEzMzg3MzA0,https://api.github.com/users/xylix/orgs,https://api.github.com/users/xylix/received_events,https://api.github.com/users/xylix/repos,false,https://api.github.com/users/xylix/starred{/owner}{/repo},https://api.github.com/users/xylix/subscriptions,User,https://api.github.com/users/xylix,public
dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,18,https://api.github.com/users/dependabot%5Bbot%5D/events{/privacy},https://api.github.com/users/dependabot%5Bbot%5D/followers,https://api.github.com/users/dependabot%5Bbot%5D/following{/other_user},https://api.github.com/users/dependabot%5Bbot%5D/gists{/gist_id},,https://github.com/apps/dependabot,49699333,MDM6Qm90NDk2OTkzMzM=,https://api.github.com/users/dependabot%5Bbot%5D/orgs,https://api.github.com/users/dependabot%5Bbot%5D/received_events,https://api.github.com/users/dependabot%5Bbot%5D/repos,false,https://api.github.com/users/dependabot%5Bbot%5D/starred{/owner}{/repo},https://api.github.com/users/dependabot%5Bbot%5D/subscriptions,Bot,https://api.github.com/users/dependabot%5Bbot%5D,public
kewde,https://avatars.githubusercontent.com/u/13770485?v=4,9,https://api.github.com/users/kewde/events{/privacy},https://api.github.com/users/kewde/followers,https://api.github.com/users/kewde/following{/other_user},https://api.github.com/users/kewde/gists{/gist_id},,https://github.com/kewde,13770485,MDQ6VXNlcjEzNzcwNDg1,https://api.github.com/users/kewde/orgs,https://api.github.com/users/kewde/received_events,https://api.github.com/users/kewde/repos,false,https://api.github.com/users/kewde/starred{/owner}{/repo},https://api.github.com/users/kewde/subscriptions,User,https://api.github.com/users/kewde,public
nikanar,https://avatars.githubusercontent.com/u/11622029?v=4,6,https://api.github.com/users/nikanar/events{/privacy},https://api.github.com/users/nikanar/followers,https://api.github.com/users/nikanar/following{/other_user},https://api.github.com/users/nikanar/gists{/gist_id},,https://github.com/nikanar,11622029,MDQ6VXNlcjExNjIyMDI5,https://api.github.com/users/nikanar/orgs,https://api.github.com/users/nikanar/received_events,https://api.github.com/users/nikanar/repos,false,https://api.github.com/users/nikanar/starred{/owner}{/repo},https://api.github.com/users/nikanar/subscriptions,User,https://api.github.com/users/nikanar,public
exoji2e,https://avatars.githubusercontent.com/u/2479779?v=4,3,https://api.github.com/users/exoji2e/events{/privacy},https://api.github.com/users/exoji2e/followers,https://api.github.com/users/exoji2e/following{/other_user},https://api.github.com/users/exoji2e/gists{/gist_id},,https://github.com/exoji2e,2479779,MDQ6VXNlcjI0Nzk3Nzk=,https://api.github.com/users/exoji2e/orgs,https://api.github.com/users/exoji2e/received_events,https://api.github.com/users/exoji2e/repos,false,https://api.github.com/users/exoji2e/starred{/owner}{/repo},https://api.github.com/users/exoji2e/subscriptions,User,https://api.github.com/users/exoji2e,public
vedantmgoyal9,https://avatars.githubusercontent.com/u/83997633?v=4,3,https://api.github.com/users/vedantmgoyal9/events{/privacy},https://api.github.com/users/vedantmgoyal9/followers,https://api.github.com/users/vedantmgoyal9/following{/other_user},https://api.github.com/users/vedantmgoyal9/gists{/gist_id},,https://github.com/vedantmgoyal9,83997633,MDQ6VXNlcjgzOTk3NjMz,https://api.github.com/users/vedantmgoyal9/orgs,https://api.github.com/users/vedantmgoyal9/received_events,https://api.github.com/users/vedantmgoyal9/repos,false,https://api.github.com/users/vedantmgoyal9/starred{/owner}{/repo},https://api.github.com/users/vedantmgoyal9/subscriptions,User,https://api.github.com/users/vedantmgoyal9,public
iloveitaly,https://avatars.githubusercontent.com/u/150855?v=4,2,https://api.github.com/users/iloveitaly/events{/privacy},https://api.github.com/users/iloveitaly/followers,https://api.github.com/users/iloveitaly/following{/other_user},https://api.github.com/users/iloveitaly/gists{/gist_id},,https://github.com/iloveitaly,150855,MDQ6VXNlcjE1MDg1NQ==,https://api.github.com/users/iloveitaly/orgs,https://api.github.com/users/iloveitaly/received_events,https://api.github.com/users/iloveitaly/repos,false,https://api.github.com/users/iloveitaly/starred{/owner}{/repo},https://api.github.com/users/iloveitaly/subscriptions,User,https://api.github.com/users/iloveitaly,public
Alwinator,https://avatars.githubusercontent.com/u/39517491?v=4,1,https://api.github.com/users/Alwinator/events{/privacy},https://api.github.com/users/Alwinator/followers,https://api.github.com/users/Alwinator/following{/other_user},https://api.github.com/users/Alwinator/gists{/gist_id},,https://github.com/Alwinator,39517491,MDQ6VXNlcjM5NTE3NDkx,https://api.github.com/users/Alwinator/orgs,https://api.github.com/users/Alwinator/received_events,https://api.github.com/users/Alwinator/repos,false,https://api.github.com/users/Alwinator/starred{/owner}{/repo},https://api.github.com/users/Alwinator/subscriptions,User,https://api.github.com/users/Alwinator,public
